LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,DISTANCE FROM SCHOOL,DISTANCE FROM MARKET,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY?,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,YEARLY RENT,RULES AND REGULATION
Odim,Flat,Third Floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessibile,Private tap/tank in compound,Within compound,Unreliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Tenants,Neutral,350000,Moderately Strict
Odenigwe,Self-con,Third Floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessibile,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,No cleaning,Vibrant,210000,Not Strict
Odim,Self-con,Ground floor,Medium,<5 years,15-30 min,>30 min,Not very accessible,Borehole outside compound,5-15 min,Moderately reliable,Semi-Water Closet,En-suite,No,No,No,Average,No cleaning,Quiet,120000,Not Strict
Hilltop,Self-con,First Floor,Small,<5 years,15-30 min,>30 min,Not very accessible,Borehole outside compound,15-30 min,Moderately reliable,Semi-Water Closet,En-suite,No,No,No,Insecure,Tenants,Neutral,150000,Not Strict
Hilltop,Self-con,First Floor,Large,<5 years,15-30 min,>30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,300000,Moderately Strict
Hilltop,Self-con,Third Floor,Medium,<5 years,5-15 min,>30 min,Not very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,250000,Strict
Odim,Single room,-,Small,10-20 years,15-30 min,<5 min,Moderately accessibile,Borehole outside compound,5-15 min,Unreliable,Pit Latrine,Shared,Yes,No,Yes,Average,Tenants,Quiet,100000,Not Strict
Vet Mountain,Self-con,First Floor,Medium,<5 years,15-30 min,>30 min,Not very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Neutral,150000,Not Strict
Greenhouse,Self-con,First Floor,Large,10-20 years,<5 min,5-15 min,Very accessible,In the unit,Within compound,No Light,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Very Vibrant,180000,Strict
Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,5-15 min,Not accessible,Public tap outside compound,5-15 min,Very reliable,Pit Latrine,En-suite,Yes,No,Yes,Average,Tenants,Quiet,200000,No rules
Odim,Self-con,Bungalow ,Medium,<5 years,5-15 min,>30 min,Not very accessible,Borehole outside compound,Within compound,Unreliable,Semi-Water Closet,En-suite,Yes,No,No,Average,Tenants,Quiet,120000,Not Strict
Hilltop,Self-con,Ground floor,Medium,<5 years,5-15 min,>30 min,Moderately accessibile,Public tap outside compound,Within compound,No Light,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Very Vibrant,170000,Moderately Strict
Hilltop,Self-con,First Floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Tenants,Quiet,100000,Very Strict
Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,5-15 min,Not accessible,Public tap outside compound,5-15 min,Moderately reliable,Pit Latrine,En-suite,Yes,No,Yes,Average,Tenants,Neutral,200000,No rules
Odenigwe,Self-con,First Floor,Medium,10-20 years,15-30 min,>30 min,Not very accessible,People selling water ,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,No cleaning,Neutral,150000,Strict
Hilltop,Self-con,First Floor,Small,10-20 years,15-30 min,>30 min,Not very accessible,Private tap/tank in compound,5-15 min,Unreliable,Semi-Water Closet,En-suite,No,No,No,Insecure,Tenants,Neutral,150000,Not Strict
Behind Flat,Self-con,Ground floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,200000,Moderately Strict
Vet Mountain,Self-con,Ground floor,Small,<5 years,<5 min,15-30 min,Not very accessible,Private tap/tank in compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,160000,Not Strict
Odim,Single room,Ground floor,Medium,>20 years,15-30 min,>30 min,Very accessible,Borehole outside compound,5-15 min,Moderately reliable,Pit Latrine,Shared,Yes,Yes,Yes,Average,Tenants,Neutral,50000,Not Strict
Odim,Single room,Ground floor,Very Small,<5 years,5-15 min,5-15 min,Not very accessible,Borehole outside compound,5-15 min,Unreliable,Semi-Water Closet,Shared,Yes,No,Yes,Average,Tenants,Quiet,300000,Moderately Strict
Odenigwe,Single room,First Floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,No,No,No,Average,Caretaker/Cleaner,Neutral,160000,No rules
Odenigwe,Single room,Ground floor,Medium,>20 years,5-15 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,Very reliable,Semi-Water Closet,Shared,No,Sometimes,No,Average,Tenants,Very Quiet,60000,Moderately Strict
Odenigwe,Self-con,First Floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessibile,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Average,No cleaning,Neutral,200000,Not Strict
Hilltop,Self-con,Ground floor,Large,10-20 years,15-30 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,No Light,Pit Latrine,En-suite,No,No,No,Insecure,No cleaning,Very Quiet,120000,No rules
Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,<5 min,Very accessible,Borehole outside compound,5-15 min,Very reliable,Pit Latrine,En-suite,No,No,No,Very Secure,Caretaker/Cleaner,Very Quiet,150000,No rules
Odim,Self-con,Ground floor,Large,10-20 years,<5 min,<5 min,Very accessible,Public tap outside compound,5-15 min,Unreliable,Pit Latrine,En-suite,No,No,Yes,Average,Tenants,Quiet,150000,No rules
Odim,Self-con,Ground floor,Medium,<5 years,<5 min,<5 min,Very accessible,Public tap outside compound,Within compound,Very reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Very Secure,Tenants,Very Vibrant,150000,Moderately Strict
Odim,Self-con,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Not very accessible,Borehole outside compound,Within compound,Very unreliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,180000,Not Strict
Odim,Single room,Ground floor,Medium,10-20 years,<5 min,<5 min,Very accessible,Borehole outside compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Very Quiet,65000,Very Strict
Odim,Single room,Ground floor,Medium,<5 years,5-15 min,5-15 min,Very accessible,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Vibrant,170000,No rules
Odim,Self-con,Ground floor,Medium,<5 years,5-15 min,5-15 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Vibrant,170000,No rules
Odim,Self-con,Ground floor,Medium,10-20 years,15-30 min,5-15 min,Not accessible,Borehole outside compound,Within compound,Very reliable,Semi-Water Closet,En-suite,No,No,No,Very Secure,Tenants,Neutral,150000,No rules
Odenigwe,Single room,Ground floor,Small,<5 years,15-30 min,5-15 min,Moderately accessibile,Private tap/tank in compound,Within compound,Very reliable,Semi-Water Closet,Outside,Yes,No,Yes,Very Secure,Tenants,Quiet,50000,Moderately Strict
Odim,Self-con,First Floor,Medium,<5 years,<5 min,15-30 min,Moderately accessibile,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,No cleaning,Neutral,200000,Not Strict
Odim,Single room,Ground floor,Small,10-20 years,>30 min,15-30 min,Not very accessible,Borehole outside compound,Within compound,Moderately reliable,Semi-Water Closet,Shared,No,No,Yes,Secure,Tenants,Neutral,100000,Moderately Strict
Odim,Single room,Ground floor,Large,>20 years,15-30 min,<5 min,Not accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,Shared,No,No,No,Very Secure,Tenants,Quiet,90000,Moderately Strict
Odim,Flat,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,No,No,No,Very Secure,Tenants,Quiet,300000,Not Strict
Odim,Single room,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Borehole outside compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Very Secure,Tenants,Very Quiet,80000,No rules
Odim,Single room,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Very accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,Shared,No,No,No,Very Secure,Tenants,Quiet,80000,Not Strict
Odim,Single room,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,No,Very Secure,Caretaker/Cleaner,Quiet,170000,No rules
Odim,Flat,Ground floor,Large,<5 years,5-15 min,5-15 min,Not accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Tenants,Quiet,600000,No rules
Odim,Single room,Ground floor,Medium,10-20 years,5-15 min,<5 min,Not accessible,Public tap outside compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Very Secure,Tenants,Quiet,70000,Moderately Strict
Odim,Self-con,Ground floor,Medium,<5 years,>30 min,<5 min,Very accessible,Borehole outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Quiet,150000,Not Strict
Hilltop,Self-con,First Floor,Medium,10-20 years,15-30 min,>30 min,Moderately accessibile,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Quiet,250000,Strict
Odim,Single room,Ground floor,Small,10-20 years,>30 min,>30 min,Not accessible,Borehole outside compound,5-15 min,Moderately reliable,Pit Latrine,Shared,Yes,No,Yes,Insecure,Tenants,Very Vibrant,70000,No rules
Odim,Self-con,Ground floor,Medium,<5 years,5-15 min,<5 min,Not accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,No,No,No,Secure,Tenants,Neutral,160000,Not Strict
Odenigwe,Self-con,First Floor,Medium,<5 years,<5 min,<5 min,Not accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,200000,No rules
Behind Flat,Flat,Second Floor,Medium,<5 years,15-30 min,15-30 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,370000,Moderately Strict
Behind Flat,Self-con,Ground floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,Public tap outside compound,Within compound,Very reliable,Semi-Water Closet,En-suite,No,No,No,Average,Caretaker/Cleaner,Very Quiet,200000,No rules
Odenigwe,Self-con,Third Floor,Medium,10-20 years,>30 min,>30 min,Moderately accessibile,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,140000,Moderately Strict
Behind Flat,Self-con,First Floor,Medium,10-20 years,>30 min,>30 min,Moderately accessibile,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,No cleaning,Vibrant,180000,Moderately Strict
Odenigwe,Self-con,Second Floor,Medium,<5 years,5-15 min,15-30 min,Moderately accessibile,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,180000,Moderately Strict
Greenhouse,Self-con,Ground floor,Small,10-20 years,15-30 min,>30 min,Moderately accessibile,Private tap/tank in compound,Within compound,Moderately reliable,Pit Latrine,Shared,Yes,No,Yes,Average,Tenants,Neutral,100000,Not Strict
Odim,Self-con,Second Floor,Medium,<5 years,5-15 min,5-15 min,Moderately accessibile,In the unit,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Tenants,Neutral,240000,Moderately Strict
Odenigwe,Self-con,Ground floor,Medium,10-20 years,5-15 min,15-30 min,Moderately accessibile,Private tap/tank in compound,Within compound,Unreliable,Water Closet,En-suite,Yes,No,No,Average,Caretaker/Cleaner,Quiet,100000,Moderately Strict
Hilltop,Single room,First Floor,Small,10-20 years,>30 min,>30 min,Moderately accessibile,Private tap/tank in compound,Within compound,Very reliable,Water Closet,Shared,Yes,Yes,Yes,Secure,Tenants,Very Quiet,60000,Moderately Strict
Hilltop,Single room,Second Floor,Large,10-20 years,<5 min,15-30 min,Very accessible,Borehole outside compound,Within compound,Very reliable,Pit Latrine,Shared,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,90000,Moderately Strict
Odenigwe,Single room,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Not accessible,Private tap/tank in compound,5-15 min,Very reliable,Semi-Water Closet,Shared,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,95000,Not Strict
Odenigwe,Self-con,Second Floor,Large,<5 years,5-15 min,15-30 min,Very accessible,In the unit,Within compound,Very unreliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Quiet,500000,Strict
Odenigwe,Self-con,First Floor,Large,<5 years,>30 min,>30 min,Not very accessible,In the unit,>30 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Very Quiet,150000,Not Strict
Odenigwe,Self-con,Third Floor,Medium,10-20 years,<5 min,5-15 min,Very accessible,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,No,No,No,Very Secure,Tenants,Very Quiet,150000,Moderately Strict
Hilltop,Self-con,Ground floor,Large,<5 years,15-30 min,<5 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,No,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,240000,Moderately Strict
Odim,Self-con,Ground floor,Medium,<5 years,5-15 min,>30 min,Not very accessible,Borehole outside compound,5-15 min,Moderately reliable,Pit Latrine,En-suite,No,No,No,Very Secure,Tenants,Quiet,120000,Not Strict
Hilltop,Self-con,Ground floor,Medium,<5 years,5-15 min,15-30 min,Very accessible,Well outside building,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Quiet,220000,Not Strict
Hilltop,Self-con,Second Floor,Small,10-20 years,5-15 min,>30 min,Very accessible,Borehole outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Tenants,Neutral,100000,Moderately Strict
Odenigwe,Single room,Second Floor,Medium,>20 years,15-30 min,>30 min,Moderately accessibile,In the unit,5-15 min,Moderately reliable,Water Closet,Shared,Yes,No,Yes,Average,Tenants,Vibrant,150000,Moderately Strict
Hilltop,Self-con,Ground floor,Medium,10-20 years,>30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Tenants,Neutral,240000,Not Strict
Hilltop,Self-con,Third Floor,Large,10-20 years,15-30 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Vibrant,270000,Moderately Strict
Odim,Self-con,Second Floor,Large,10-20 years,<5 min,5-15 min,Moderately accessibile,In the unit,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,200000,Not Strict
Hilltop,Self-con,First Floor,Large,10-20 years,5-15 min,5-15 min,Very accessible,Borehole outside compound,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,210000,Moderately Strict
Hilltop,Single room,Ground floor,Very Large,10-20 years,<5 min,5-15 min,Moderately accessibile,Public tap outside compound,5-15 min,Moderately reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Very Vibrant,80000,Not Strict
Hilltop,Self-con,Second Floor,Small,<5 years,5-15 min,15-30 min,Moderately accessibile,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,250000,Not Strict
Hilltop,Self-con,Third Floor,Large,<5 years,5-15 min,>30 min,Not very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Vibrant,270000,Strict
Odim,Self-con,Second Floor,Medium,<5 years,5-15 min,5-15 min,Moderately accessibile,In the unit,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Neutral,200000,Not Strict
Odim,Single room,Second Floor,Medium,10-20 years,15-30 min,15-30 min,Moderately accessibile,Well outside building,5-15 min,Moderately reliable,Pit Latrine,En-suite,Yes,No,Yes,Average,Tenants,Neutral,250000,Moderately Strict
Odim,Self-con,First Floor,Small,<5 years,<5 min,5-15 min,Not very accessible,Private tap/tank in compound,5-15 min,Unreliable,Water Closet,En-suite,No,No,No,Average,Tenants,Neutral,200000,Moderately Strict
Behind Flat,Self-con,First Floor,Medium,<5 years,5-15 min,>30 min,Moderately accessibile,In the unit,Within compound,Unreliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Very Quiet,250000,Strict
Odim,Self-con,Ground floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Borehole outside compound,15-30 min,Unreliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,180000,Not Strict
Odim,Self-con,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessibile,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Neutral,120000,Moderately Strict
Odim,Self-con,Ground floor,Large,10-20 years,<5 min,5-15 min,Not very accessible,Borehole outside compound,Within compound,Unreliable,Semi-Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Neutral,150000,Moderately Strict
Onuiyi,Self-con,Ground floor,Large,10-20 years,>30 min,>30 min,Moderately accessibile,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,400000,Moderately Strict
Hilltop,Single room,Ground floor,Small,10-20 years,5-15 min,<5 min,Moderately accessibile,Private tap/tank in compound,Within compound,Moderately reliable,Pit Latrine,Shared,Yes,No,Yes,Secure,Tenants,Quiet,100000,Not Strict
Onuiyi,Flat,First Floor,Medium,>20 years,15-30 min,>30 min,Not very accessible,Tap inside the building ,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Insecure,Tenants,Quiet,140000,Not Strict
Onuiyi,Self-con,Second Floor,Medium,<5 years,15-30 min,>30 min,Moderately accessibile,In the unit,>30 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,200000,Moderately Strict
Hilltop,Self-con,First Floor,Small,<5 years,>30 min,5-15 min,Not very accessible,Well outside building,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,Caretaker/Cleaner,Very Quiet,200000,Moderately Strict
Hilltop,Self-con,Third Floor,Medium,<5 years,5-15 min,>30 min,Moderately accessibile,No water..... ,15-30 min,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Average,No cleaning,Quiet,200000,No rules
Hilltop,Single room,Ground floor,Very Small,>20 years,5-15 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,No,No,No,Insecure,Tenants,Neutral,80000,No rules
Greenhouse,Self-con,First Floor,Large,<5 years,>30 min,>30 min,Not accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,130000,Moderately Strict
Odenigwe,Self-con,First Floor,Large,<5 years,5-15 min,15-30 min,Moderately accessibile,Public tap outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,200000,No rules
Hilltop,Self-con,First Floor,Medium,10-20 years,<5 min,5-15 min,Very accessible,Private tap/tank in compound,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,240000,Not Strict
Odenigwe,Single room,Ground floor,Medium,<5 years,5-15 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,Very reliable,Semi-Water Closet,Shared,Yes,No,Yes,Secure,Tenants,Neutral,70000,Moderately Strict
Odenigwe,Single room,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessibile,Public tap outside compound,Within compound,Very reliable,Water Closet,Shared,No,No,No,Secure,Tenants,Vibrant,100000,Moderately Strict
Odim,Single room,Ground floor,Small,10-20 years,5-15 min,<5 min,Not very accessible,Public tap outside compound,5-15 min,Unreliable,Semi-Water Closet,Shared,No,No,No,Insecure,Tenants,Neutral,60000,Not Strict
Hilltop,Self-con,First Floor,Medium,<5 years,15-30 min,15-30 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Vibrant,250000,Moderately Strict
Odenigwe,Self-con,Ground floor,Small,10-20 years,15-30 min,5-15 min,Very accessible,Public tap outside compound,Within compound,Very reliable,Pit Latrine,Shared,Yes,No,Yes,Very Secure,No cleaning,Neutral,80000,Moderately Strict
Odenigwe,Self-con,Second Floor,Medium,<5 years,15-30 min,<5 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,300000,Strict
Odim,Self-con,Ground floor,Large,<5 years,5-15 min,<5 min,Moderately accessibile,In the unit,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,200000,Not Strict
Odenigwe,Self-con,Second Floor,Medium,<5 years,5-15 min,15-30 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Neutral,250000,Moderately Strict
Odim,Self-con,Second Floor,Small,<5 years,>30 min,15-30 min,Not very accessible,Borehole outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,No,No,No,Average,Tenants,Quiet,150000,Moderately Strict
Behind Flat,Self-con,First Floor,Medium,<5 years,15-30 min,5-15 min,Moderately accessibile,Private tap/tank in compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants/Caretaker,Quiet,230000,Not Strict
Odenigwe,Single room,Ground floor,Medium,10-20 years,15-30 min,15-30 min,Moderately accessibile,Borehole outside compound,5-15 min,Very reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Quiet,50000,Moderately Strict
Odenigwe,Single room,Ground floor,Medium,10-20 years,15-30 min,15-30 min,Very accessible,Borehole outside compound,5-15 min,Moderately reliable,Water Closet,Shared,Yes,No,No,Average,Tenants,Neutral,85000,Moderately Strict
Odenigwe,Self-con,Second Floor,Medium,<5 years,<5 min,5-15 min,Very accessible,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Vibrant,220000,Moderately Strict
Odenigwe,Single room,Ground floor,Large,>20 years,15-30 min,5-15 min,Very accessible,Public tap outside compound,5-15 min,Very reliable,Pit Latrine,Shared,Yes,No,Yes,Insecure,Tenants,Very Quiet,60000,No rules
